Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Activity (product.metafields.custom.activity),Age group (product.metafields.custom.age_group),Ankle Collar (product.metafields.custom.ankle_collar),Breathability Level (product.metafields.custom.breathability_level),Color (product.metafields.custom.color),Fabric (product.metafields.custom.fabric),Safety Features (product.metafields.custom.safety_features),Team (product.metafields.custom.sports_team),Stud Type (product.metafields.custom.stud_type),Target gender (product.metafields.custom.target_gender),Technology (product.metafields.custom.technology),Weight  (product.metafields.custom.weight_),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Neckline (product.metafields.shopify.neckline),Personalization options (product.metafields.shopify.personalization-options),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Sports logo (product.metafields.shopify.sports-logo),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tottenham-hotspur-2025-home-jersey,Tottenham Hotspur Home Jersey 2025-26 Player Version,"<p>Show team spirit with the Tottenham Hotspur 2025 home jersey from Striker Store. This jersey captures the identity of the club. The design features the iconic white base with rich navy accents. It includes the bold club crest on the chest. The ""AIA"" sponsor is bright in red. This is the player version, made for serious fans and athletes. </p>
<p>The Tottenham Hotspur 2025 home jersey uses breathable fabric. The lightweight material helps regulate your body temperature. Moisture-wicking technology keeps you dry during intense matches or training. The fit hugs your body for comfort and freedom of movement. </p>
<p>Wear it in support at the stadium or while playing football with friends. The jersey is great for both collectors and everyday athletes. Authentic details highlight your dedication. The finely stitched logos add to the premium look. The player version gives you the same style seen on the pitch. </p>
<p>This Tottenham Hotspur 2025 home jersey stands out with modern features. The collar stays in place. Sleeves are crafted to allow airflow. The soft material feels good on your skin for long hours of wear. </p>
<p>Order the Tottenham Hotspur 2025 home jersey now from Striker Store. Enjoy quality and fair pricing. Free delivery anywhere in India adds value for every fan. The store offers only the best shirts designed with passion and care. Complete your collection with this must-have jersey. </p>
<p>The Tottenham Hotspur 2025 home jersey suits anyone who loves the club. Wear it at matches, during local games, or when relaxing at home. Each detail connects you to your favorite team. Trust Striker Store for quality, style, and dedication to football.</p>",Striker Store,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Sports Collectibles > Sports Fan Accessories > Jerseys,Jersey,"2025, 2025-26, 2026, activewear, aia, apparel, blue, club, home, new arrivals, nike, player, Tottenham, tottenham hotspur, white",true,Size,s,product.metafields.shopify.size,,,,,,,CLU-THP-HM-25/26-PV-S,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-2025-home-jersey-front-aia-sponsor-white-navy.png?v=1755551422,1,Striker Store Tottenham Hotspur 2025 home jersey white Nike shirt with navy shoulder panels and red AIA sponsor logo,false,Tottenham Hotspur 2025 home jersey Player Version Nike | Striker Store,"Striker Store: Tottenham Hotspur 2025 home jersey Player — official Nike fabric, AIA sponsor print, authentic fit, breathable, light and free delivery in India.",,,,,,,,,,,,Football,,,,"White, Blue",Polyester,,Tottenham Hotspur,,Unisex,Sweat Wiking,,,,,teens; adults,,stretchable; moisture-wicking,white; blue,polyester,,round,,,,s; m; l; xl; 2xl,short,soccer-clubs,unisex,,,,,,g,,650.00,active
tottenham-hotspur-2025-home-jersey,,,,,,,,,m,,,,,,,,CLU-THP-HM-25/26-PV-M,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-2025-home-jersey-chest-crest-nike-swoosh-closeup.png?v=1755551422,2,Tottenham Hotspur 2025 home jersey close up of white textured fabric with navy crest and Nike logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
tottenham-hotspur-2025-home-jersey,,,,,,,,,l,,,,,,,,CLU-THP-HM-25/26-PV-L,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-2025-home-jersey-back-white-navy-shoulder-panels.png?v=1755551422,3,Striker Store white back view of Tottenham Hotspur 2025 home jersey with navy shoulder panels and light gray side panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
tottenham-hotspur-2025-home-jersey,,,,,,,,,xl,,,,,,,,CLU-THP-HM-25/26-PV-XL,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-2025-home-jersey-authentic-woven-engineered-tag-closeup.png?v=1755551422,4,Striker Store close up of Tottenham Hotspur 2025 home jersey white fabric texture and woven label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
tottenham-hotspur-2025-home-jersey,,,,,,,,,2xl,,,,,,,,CLU-THP-HM-25/26-PV-2XL,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-2025-home-jersey-collar-spurs-print-cockerel-crest.png?v=1755551422,5,Striker Store close up of Tottenham Hotspur 2025 home jersey white textured fabric and crest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
tottenham-hotspur-2025-home-jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-2025-home-jersey-dri-fit-adv-sleeve-print-closeup.png?v=1755551422,6,Striker Store close up of Tottenham Hotspur 2025 home jersey white textured sleeve with Dri FIT fabric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tottenham-hotspur-2025-home-jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-2025-home-jersey-purple-kraken-sleeve-sponsor-logo.png?v=1755551422,7,Close up of white Tottenham Hotspur 2025 home jersey sleeve with purple Kraken sponsor logo on textured fabric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tottenham-hotspur-away-jersey-2025-26-authentic,Tottenham Hotspur Away Jersey 2025-26 Player Version,"<p>Experience the game in style with the Tottenham Hotspur away jersey 2025-26 from Striker Store. This player version jersey brings a modern design and authentic look. The fabric feels light. It helps you stay cool during every match or workout.</p>
<p>The Tottenham Hotspur away jersey 2025-26 comes with a sleek black colorway. It features the iconic club crest on the chest. Premium materials ensure comfort for long hours. The design follows the details the pros use.</p>
<p>Fans enjoy the slim-fit shape. Movements feel easy on the pitch or at home. Supports of all ages can wear this Tottenham Hotspur away jersey 2025-26 for match days. The jersey’s quick-dry technology keeps sweat away. It makes wearing it enjoyable for marathons or daily use.</p>
<p>This jersey stands out for its durability. The stitching holds strong after washes. Tailored ventilation supports airflow in tough games. The sleeves sit just right. Every supporter appreciates how the Tottenham Hotspur away jersey 2025-26 fits in their wardrobe.</p>
<p>At Striker Store, every jersey comes with careful packaging. It is ideal as a gift for a fan. Its premium quality sets it apart from regular replicas. Enjoy free delivery anywhere in India. You get the Tottenham Hotspur away jersey 2025-26 at an affordable price.</p>
<p>The bold logos and sponsor details look sharp. Show your pride in every venue. Pair the Tottenham Hotspur away jersey 2025-26 with jeans or shorts. The versatile style appeals to fans and collectors. Order now from Striker Store and experience true football passion.</p>",Striker Store,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Sports Collectibles > Sports Fan Accessories > Jerseys,Jersey,"2025, 2025-26, 2026, activewear, aia, apparel, away, best, black, club, new arrivals, nike, player, Tottenham, tottenham hotspur",true,Size,s,product.metafields.shopify.size,,,,,,,CLU-THP-AW-25/26-PV-S,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,"",https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-away-jersey-2025-26-black-grid-front-aia-nike-crest.png?v=1755551220,1,Striker Store Tottenham Hotspur away jersey 2025-26 black grid pattern Nike AIA sponsor club crest,false,Tottenham Hotspur away jersey 2025-26 Player Version | Striker Store,"Buy the Tottenham Hotspur away jersey 2025-26 at Striker Store - player version with breathable, lightweight fabric, player fit and free delivery in India.",,,,,,,,,,,,Football,,,,Black,Polyester,,Tottenham Hotspur,,Unisex,Sweat Wiking,,,,,teens; adults,,stretchable; moisture-wicking,black,polyester,,round,,,,s; m; l; xl; 2xl,short,soccer-clubs,unisex,,,,,,g,,650.00,active
tottenham-hotspur-away-jersey-2025-26-authentic,,,,,,,,,m,,,,,,,,CLU-THP-AW-25/26-PV-M,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,"",https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-away-jersey-2025-26-closeup-chest-crest-aia-logo-texture.png?v=1755551220,2,Striker Store black Tottenham Hotspur away jersey 2025-26 close up showing crest AIA sponsor and Nike swoosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
tottenham-hotspur-away-jersey-2025-26-authentic,,,,,,,,,l,,,,,,,,CLU-THP-AW-25/26-PV-L,200.0,shopify,100,deny,manual,1299.00,3299.00,true,false,"",https://cdn.shopify.com/s/files/1/0922/4824/4508/files/nike-tottenham-hotspur-away-jersey-2025-26-black-grid-back-sleeve-sponsor.png?v=1755551220,3,Back view of black Tottenham Hotspur away jersey 2025-26 with subtle grid pattern short sleeves by Striker Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,650.00,
